type,exercise,description,measure,video_id
Body Weight,Air Squat,"Keep core tight, squat down until your hips are below your knees. Get back up to fully upright position, hips, legs and core straight.",Time,C_VtOYc6j5c
Body Weight,Back Extension,"Lay on your stomach and arch your body upwards, keep your legs on the ground. Do the movement slowly.",Time,Bw9YuQTTc58
Barbell,Back Squat,"Hold the barbell on your back, squat down, hips below knees, and get back up. Keep core tight. ",Weight,ultWZbUMPL8
Body Weight,Bear Crawl,"Get down on hands and feet, keep your core low and bring your legs to your arms. Always move an arm and the opposite leg at the same time",Time,WMXbyYpZ9oY
Barbell,Bench Press,"Lay on on a bench on your back, hold the barbell with straight arms, bring it down to your chest and back up again. ",Weight,k3Mvyt4pBQQ
Body Weight,Box Jump,"Jump on the box with both feet at the same time, get up straight, legs, hips and core straight, jump back down on both feet. ",Time,hxldG9FX4j4
Body Weight,Broad-Jump,Jump forward with both feet at the same time. ,Time,KUO-R1aD4uU
Body Weight,Burpee,"From the upright position, lay down flat, bring both legs to your hands in a jumping movement, get up and jump up clapping your hands above your head. ",Time,TU8QYVW0gDU
Barbell,Clean,"Start with a deadlift, tripple extension, squat below the bar, catch it on your shoulders (in front of you) and get back up with the bar on your shoulders. ",Weight,9ujMWHBX5CU
Barbell,Deadlift,"Grab the bar from the floor and get up until you stand up straight with your arms hanging in front of you, holding the bar. ",Weight,op9kVnSso6Q
Other,Double Under,Use a jumprope and perform 2 rope rotations at every jump,Time,_7cpagB7WUg
Other,Dumbbell Swing,,Time,
Other,Dumbbell Press,Clean up two dumbbells and press them from shoulder height up over the head until the arms are straight. ,Weight,AqzDJHxynwo
Barbell,Farmer Carry,Carry a barbell in each hand and walk with them.,Time,Fkzk_RqlYig
Barbell,Floor Wipers,"Lay on your back and hold a barbell (with weights) over your head with your arms straight. Bring your outstreched legs to one end of the barbell, touching the weight there and then towards the other side, touching the weight there. ",Time,6RFJS8HE4dY
Body Weight,Forward Roll,"Stand up, perform a forward roll and stand up again. ",Time,Zl00lKb6_bI
Barbell,Front Squat,Hold the barbell in a cleaned position. Perform a squat with the bar steady. Be sure to keep your core tight and stay as upright as you can. ,Time,m4ytaCJZpl0
Other,GHD Sit-Up,,Time,l5YsDbLN43Y
Barbell,Ground-to-Overhead,Bring the barbell to an overhead position with your arms stretched and shoulders locked out. You may bring it up with whatever technique you please. ,Weight,
Body Weight,Handstand Push-Up,This can be performed leaning against a wall or standing free. Get into a handstand position lower your head untill you touch the ground and push yourself back up again. ,Time,hvoQiF0kBI8
Body Weight,Handstand Walk,Get into a handstand position and start walking,Time,PWDN313DwsE
Other,Hanging Hip Touch,,Time,SJ3WqnnyvcQ
Barbell,Jerk,,Weight,8miqQQJEsO0
Other,American Kettlebell Swing,"Swing the kettlebell, the range of motion should be from between your legs up to over your head. Make sure you use your hip drive.",Time,E6GoQYuZZT4
Other,Russian Kettlebell Swing,"Swing the kettlebell, the range of motion should be from between your legs up eye level. Make sure you use your hip drive.",Time,uUpSFguwRQM
Other,Kettlebell Tater,,Time,82gxfvmXZ-4
Other,Knees-to-Elbows,,Time,IJZpz5C1dAA
Other,Lower from Inverted Hang,,Time,04cSkfax3sE
Body Weight,Lunge,,Time,L8fvypPrzzs
Other,Man Maker,,Time,iMNnvhg1JcM
Other,Ring Muscle-Up,,Time,86bwH-yHgMQ
Other,Bar Muscle-Up,,Time,kAw6IMk3Ogk
Barbell,Overhead Squat,,Weight,RD_vUnqwqqI
Body Weight,Pistol,,Time,qDcniqddTeE
Other,Pull-Up,,Time,lCeuyR5ROyQ
Barbell,Push Press,,Weight,X6-DMh-t4nQ
Barbell,Push Jerk,,Weight,V-hKuAfWNUw
Body Weight,Push-Up,,Time,M1IfJmVjKW0
Other,Ring Dip,,Time,Vt0lO4jpIDo
Other,Rope Climb,,Time,G_3kJy-_CiA
Other,Ring Row,,Time,xhlReCpAE9k
Other,Row,,Time,TD60yqeToGM
Body Weight,Run,,Time,
Barbell,Shoulder Press,,Weight,xe19t2_6yis
Barbell,Shoulder-to-Overhead,,Weight,MDE7fgut2Zs
Other,Single Jump Rope,,Time,8K4KCOHLLJU
Body Weight,Sit-Up,,Time,_HDZODOx7Zw
Barbell,Snatch,,Weight,oLnGwUuKqu8
Barbell,Strict Press,,Weight,
Barbell,Sumo Deadlift ,,Weight,q7HXhrSeipo
Barbell,Sumo Deadlift High-Pull,,Weight,o6QniJ9FaGA
Body Weight,Swim,,Time,
Barbell,Thruster,,Weight,aea5BGj9a8Y
Other,Toes Through Rings,,Time,
Other,Toes-to-Bar,,Time,_03pCKOv4l4
Other,Triple-Under,,Time,
Other,Turkish Get-Up,,Weight,GdAXt7YyGe0
Other,Wall Ball Shot,,Time,fpUD0mcFp_0
Body Weight,Wall Climb,,Time,8KIYk_N97j8
Body Weight,L-Sit,,Time,PWuBjrN-knY
Other,L-Hang,,Time,jw8DnYMWjDc
Barbell,Hang Power Snatch,,Weight,NYqeIkj_84Y
Other,Medicine-Ball Clean,,Time,#NAME?
